Location,Startup, Lat, Ln
Splügen,2012.0,,
Engi (Glarus Süd),2012.0,,
Icogne,2012.0,46.290802,7.4381663
"Bedretto, Ossasco",2012.0,,
Grafschaft,2013.0,46.455335600000005,8.2169557
Leytron,2013.0,46.186629700000005,7.208701500000001
Challex,2013.0,46.181175,5.972054
"Wolfenschiessen, Flüglisloo",2013.0,,
Ferden,2013.0,46.3939824,7.759474599999999
"Ormont - Dessous, Le Pont",2013.0,,
Steinach,2014.0,47.503209999999996,9.44208
"Vionnaz, Beffeux",2014.0,,
Eischoll,2014.0,46.29327,7.780620000000001
